jam_id	user_id	artist	title	creation_date	link	spotify_uri	
684a5aebb627098c3383d0e5df83ed74	ffe17289890199c881268bb0d9dc7ff8	Bombay Bicycle Club	Magnet	2012-12-10			
1903154fff510f6d28d553b072e6ad04	ffe17289890199c881268bb0d9dc7ff8	Bombay Bicycle Club	Evening /  Morning	2012-12-13			
9994b6600f9e279b648354e0a536beb3	ffe17289890199c881268bb0d9dc7ff8	Broken Social Scene	Cause = Time	2013-01-03			
84bd2a80f8c68c4950c2d7b0629918d9	ffe17289890199c881268bb0d9dc7ff8	Devendra Banhart	Santa Maria da Feira	2012-12-10			
4b8ed247d558c6b1b46c4d1dea41b8cc	ffe17289890199c881268bb0d9dc7ff8	Nujabes	Feather (feat. Cise Starr & Akin from Cyne)	2012-12-28			
51698439f2416d439a693449f8eae860	ffe17289890199c881268bb0d9dc7ff8	Rebelution	Safe and Sound	2012-12-16			
4239378a4fa06bc64b73836c134d9602	ffe17289890199c881268bb0d9dc7ff8	Tyler, the Creator	Analog	2012-12-22			
5577e272523fbc16e3f6fa787117f6c8	ffe17289890199c881268bb0d9dc7ff8	Vampire Weekend	Run	2012-12-28			
6cb667ae0bc8d80303b98d137be7420b	ffe6631656b78ccf61d0417b2f827e5f	Snoop Dogg	Young, Wild & Free - feat. Bruno Mars	2012-02-10			
7f30b78c853fcbf70179bac30e802981	ffe6631656b78ccf61d0417b2f827e5f	Snoop Dogg	Young, Wild & Free - feat. Bruno Mars	2012-02-10			
2439a6e99700a0fe7aaa81d1b3768cfd	ffe7395ea6c84fed6eed78fd12d9fb33	Leftfield	Release The Pressure	2012-08-29			
68e9d4ec5880d472f82e8cc415cb5f41	ffe7395ea6c84fed6eed78fd12d9fb33	Metrik	More Than Words	2012-09-04			
4f0d49af01d9e53f0952be64d45d10e9	ffe7395ea6c84fed6eed78fd12d9fb33	Metrik	Between Worlds	2012-09-04			
14a1f9546b16bee3bbae6a2cf4496a3f	ffe7395ea6c84fed6eed78fd12d9fb33	Radiohead	Weird Fishes/Arpeggi	2012-08-14			
893a35bcddd41555a193a65fdf588fdb	ffe91fff70def89b24f8374021df4e39	5 Seconds of Summer	Heartbreak Girl	2013-03-07			
97976e6a0be40d1b3365dc051be46bc1	ffe91fff70def89b24f8374021df4e39	5 Seconds of Summer	Heartbreak Girl	2013-03-07			
02d8942e8cc88266a8363839bd3bd769	ffe91fff70def89b24f8374021df4e39	Josh Record	For Your Love	2013-03-07			
44ff39bbd87fd98bbc2c447c9e2626f6	ffebf01ece630379fd0bee1675e5e76d	Matson Jones	Exes and Ohs	2012-08-07			
ebac85fcac50dccaead600afec15d0c3	ffebf01ece630379fd0bee1675e5e76d	The Monkees	Randy Scouse Git	2012-08-12			
227aae2cf84069a2a7c06f94e4eece7f	ffece603fcfcf117305c726c5b0e22a5	Bag Raiders	Shooting Stars	2012-11-27			
8f61d51f7b29a9bf727fcace9b1b7e72	ffece603fcfcf117305c726c5b0e22a5	Metronomy	Corinne	2012-07-10			
7139a414abdb3cd2b53db4058234e3aa	ffece603fcfcf117305c726c5b0e22a5	OutKast	Dracula's Wedding	2012-10-10			
e3c9ec58b9623a00f1bc848f0476578f	ffece603fcfcf117305c726c5b0e22a5	Phoenix	Fences (Boombass Remix)	2012-12-19			
6473536681f4439923a6bf202cca550f	ffece603fcfcf117305c726c5b0e22a5	Tegan and Sara	Back In Your Head	2012-08-22			
5bc22af7c5be9f2935d7bc73f341cefd	ffece603fcfcf117305c726c5b0e22a5	The Knife	Kino	2012-08-02			
b37a25d7600f7b10bdcdbde0c72269ea	ffee36360672bedcb87b7b224efa6df3	A Fine Frenzy	Now Is The Start	2013-08-02			
ea5b8139b4f21a71f6542cb3982741ea	ffee36360672bedcb87b7b224efa6df3	Arctic Monkeys	I Wanna Be Yours	2013-12-19			
df6d7a93e292e5ca6f75b722b7e00f00	ffee36360672bedcb87b7b224efa6df3	Kate Nash	Mouthwash	2013-09-27			
700b597acd85a974bb12eaa9573aac6c	ffee36360672bedcb87b7b224efa6df3	Kopecky Family Band	Heartbeat	2013-12-13			
9e834a7ace4e0074f59f989ff31d0ea9	ffee36360672bedcb87b7b224efa6df3	MS MR	Salty Sweet	2013-10-16			
acba2656c214718686256f1c955344f5	ffee36360672bedcb87b7b224efa6df3	Phoenix	Consolation Prizes	2013-09-11			
b171e4ab154e1a6b7ae86b66dfabc461	ffee36360672bedcb87b7b224efa6df3	Straylight Run	The Tension and the Terror	2013-08-05			
77fd67f0241f62c26c2c18b4698c10b0	ffee36360672bedcb87b7b224efa6df3	Vampire Weekend	Unbelievers	2013-11-05			
81fb5a9c7882ebece3c8de0593bac8a5	ffee7b001e57fc2222eb40432cb7e142	Arcade Fire	REFLEKTOR	2013-11-08			
3dde3dc55546ea60567a9d5f211c9a99	ffee7b001e57fc2222eb40432cb7e142	Ben Howard	Esmerelda (live)	2013-11-08			
94828f0e452b0ea0d3132efd9c3d92bc	ffee7b001e57fc2222eb40432cb7e142	Dusted	Property Lines	2013-11-24			
7804206a4d8304ae891a30dfc83a6781	ffee7b001e57fc2222eb40432cb7e142	Fink	Foot in the door	2013-11-15			
4ef567a460355faacbfd60d5c3bcc893	ffee7b001e57fc2222eb40432cb7e142	Ghostpoet	Finished I Ain't	2013-11-22			
02276de86fc01a161cc2bc843b2af2e7	ffeeac814e80aff32bd1bbd7b3c58071	Bon Iver	Perth (Teen Daze Remix)	2012-10-09			
0976e2b49c3b321170b7f173b919d027	ffeeac814e80aff32bd1bbd7b3c58071	Bonobo	Kiara	2012-10-15			
5c8148a79e2450f28068138194fb895b	ffeeac814e80aff32bd1bbd7b3c58071	Daughter	Youth	2012-10-23			
15f4c5c3040a42a611347c75ba037cd4	ffeeac814e80aff32bd1bbd7b3c58071	Everything Everything	Cough Cough	2012-10-22			
b3ceff04ef07bbd955e67ccf74a689fb	ffeeac814e80aff32bd1bbd7b3c58071	Four Tet	She Just Likes to Fight	2012-09-07			
ff59475da26cb3f0026114856f019d18	ffeeac814e80aff32bd1bbd7b3c58071	Frank Ocean	Lost	2012-08-20			
de35cb7e0c021ec9bb0907237bf11079	ffeeac814e80aff32bd1bbd7b3c58071	Radiohead	Little by Little	2012-10-07			
c92cb28b4db10e6774a88bd99a069b07	ffeeac814e80aff32bd1bbd7b3c58071	Totally Enormous Extinct Dinosaurs	Household Goods	2012-08-22			
cdc22f6ba92c90b1d99665254e2e82e5	fff03e13c4df98b4e57895d13b8a9cb5	Bonobo	Days To Come (feat. Bajka)	2012-03-04			
28f5f70ff02402b76896aa73ae316aa1	fff03e13c4df98b4e57895d13b8a9cb5	The Smiths	There Is a Light That Never Goes Out	2012-03-04			
ef49bc7667a819494395ac3b94f090d4	fff03e13c4df98b4e57895d13b8a9cb5	The Stone Roses	I Wanna Be Adored	2012-03-11			
b129e6b1eb70a634761c45363f7bdd4c	fff0641b91d87e025d4f0a39c832e6e9	Asaf Avidan	Reckoning Song (One Day)	2014-03-02			
d4548166ac5038a105a26366f7e1c028	fff0641b91d87e025d4f0a39c832e6e9	Billy Paul	It's Too Late	2014-03-07			
0a8f328b9c0561c60b1798cfd46a8297	fff0641b91d87e025d4f0a39c832e6e9	Chase & Status	Alive	2014-03-02			
b605d257f98876060941af5eb5e782de	fff0641b91d87e025d4f0a39c832e6e9	DJ Fresh	Louder	2014-03-02			
4f157af2c2666df3184b3891519bdcaa	fff0641b91d87e025d4f0a39c832e6e9	Lafayette Afro Rock Band	Hihache	2014-03-02			
934634d1f7805aa50539840a4f6ba6e9	fff0641b91d87e025d4f0a39c832e6e9	The Budos Band	Up From The South, Eastbound	2014-03-01			
fdb1a3d2101a0228eb4fb90d2bdeccba	fff260c764f129d7f773427ac64ab29b	AWOLNATION	Sail	2012-07-12			
455c231154d8f916ff5900e9215d57c1	fff260c764f129d7f773427ac64ab29b	Chris Cornell	You Know My Name	2012-07-17			
144896bb28082f472b8605287d556593	fff260c764f129d7f773427ac64ab29b	Sporty-O	Let Me Hit It (Audiostalkers Original Mix)	2012-07-06			
f028162c9e77d05e6296311dc60ab809	fff590ef08da155c02312a25d9320449	Krewella	One Minute (DotEXE 'Dopest Dope' Remix)	2013-02-22			
ae27177a7122bcba45e3ead2df6471a1	fff590ef08da155c02312a25d9320449	Matduke	Bloodlip	2013-02-22			
6688202c1f2f6780be748de78a1f22ff	fff744d21e2176df43c87f033f0fccf7	Alt-J	Fitzpleasure	2012-02-03			
7fe329b0c92a46334ce7e500d5fa92aa	fff744d21e2176df43c87f033f0fccf7	Bon Iver	Holocene	2012-02-02			
81f4370a12c498d1a934ba727e24507a	fff744d21e2176df43c87f033f0fccf7	City and Colour	The Girl	2012-02-20			
5b65c3b9219e34e3a1cd9fe3230a81db	fff744d21e2176df43c87f033f0fccf7	Cut Copy	Where I'm Going	2012-02-10			
d2ee3d0901e414a87fca5af981068b0a	fff744d21e2176df43c87f033f0fccf7	Dave Matthews Band	Dodo	2012-02-13			
5299f6d893d623098e993b8c4444d09c	fff744d21e2176df43c87f033f0fccf7	Foster the People	Warrant	2012-02-01			
789a9823ec680d6573ae0cbd0b4bf9b9	fff744d21e2176df43c87f033f0fccf7	The Maccabees	Pelican	2012-02-03			
66ccd6a961917edff8d000ae2c2a1b34	fff744d21e2176df43c87f033f0fccf7	Travis Tritt	It's A Great Day To Be Alive	2012-03-19			
e6d81d2b1b36ec5748c019f06792f189	fff744d21e2176df43c87f033f0fccf7	Woman's Hour	Jenni	2012-01-26			
1d57590b4d752b2151bbdc3f901ee982	fff7b4878f27b3e8bceb7c19247d5c6a	Adam & The Amethysts	Prophecy	2012-04-09			
25ce1af99144a4084b6737636f807b72	fff7b4878f27b3e8bceb7c19247d5c6a	Aidan Knight	Jasper	2012-01-25			
0419d160afbcf6e9fae6bb7204331506	fff7b4878f27b3e8bceb7c19247d5c6a	Arkells	Pullin' Punches	2012-01-16			
92683e2ca9a2d343533343e5bd521be7	fff7b4878f27b3e8bceb7c19247d5c6a	Born Ruffians	Foxes Mate for Life	2012-02-13			
c0b3a58609e4c8171c81e0c5541e4ef6	fff7b4878f27b3e8bceb7c19247d5c6a	Cuff the Duke	Ballad Of A Lonely Construction Worker	2012-02-10			
4adab25219d8a81bca32d5e3e141fa26	fff7b4878f27b3e8bceb7c19247d5c6a	Diamond Rings	All Yr Songs	2012-03-23			
e3cc06cdc0456e70b0d73773a248e19e	fff7b4878f27b3e8bceb7c19247d5c6a	Dirty Beaches	True Blue	2012-03-29			
b921b15569c52f73b5c83cd4cc9f7643	fff7b4878f27b3e8bceb7c19247d5c6a	Jenn Grant	Getcha Good	2012-04-15			
3579abc0d0e3686490b831acbc66cced	fff7b4878f27b3e8bceb7c19247d5c6a	Joel Plaskett	Harbour Boys	2012-01-19			
ca8e41e122b1664f4634788088e1655b	fff7b4878f27b3e8bceb7c19247d5c6a	John K. Samson	When I Write My Master's Thesis	2012-01-28			
cd3d11e5fb440ab4a33d413160bddfd0	fff7b4878f27b3e8bceb7c19247d5c6a	Jonathan Coulton	Shop Vac	2012-03-17			
8c6bd1bd7d0e1d38048647557b726466	fff7b4878f27b3e8bceb7c19247d5c6a	Library Voices	The Prime Minister's Daughter	2012-03-11			
c11b5cb2883b923650bbd27da22cdb81	fff7b4878f27b3e8bceb7c19247d5c6a	More or Les	Pop n Chips	2012-03-05			
e1befdab75b48f07d7130cdb221e9048	fff7b4878f27b3e8bceb7c19247d5c6a	Plants and Animals	Lightshow	2012-02-22			
d0ab57f586a5c64ae731a1d753994a59	fff7b4878f27b3e8bceb7c19247d5c6a	Rococode	Empire	2012-02-18			
2a104b385e636b6a2a3ae201390d8ccc	fff7b4878f27b3e8bceb7c19247d5c6a	Roy Orbison	Working For The Man	2012-02-25			
f1c7355ee95579c3b4bdbc684f39096d	fff7b4878f27b3e8bceb7c19247d5c6a	The Band	Acadian Driftwood	2012-04-19			
24a056de7e466b9f1e103fc5f45e7d15	fff7b4878f27b3e8bceb7c19247d5c6a	The Dears	Thrones	2012-01-13			
9321cef28948156993d488c3a756fd5d	fff7b4878f27b3e8bceb7c19247d5c6a	The Decemberists	Grace Cathedral Hill	2012-02-27			
857deb69650a4020e4c76d2842421b5c	fff7b4878f27b3e8bceb7c19247d5c6a	The Organ	Steven Smith	2012-04-25			
3b595b63ad645773db8009cf75bbe5d6	fff7b4878f27b3e8bceb7c19247d5c6a	Two Hours Traffic	Jezebel	2012-04-07			
ed322704664a61afcdff139684276a5e	fff7b4878f27b3e8bceb7c19247d5c6a	Van Morrison	Goodbye, Baby (Baby, Goodbye)	2012-02-03			
5fe0ee7dff4626837584b85d84f9f125	fff7b4878f27b3e8bceb7c19247d5c6a	Wilson Pickett	Land Of 1000 Dances	2012-04-01			
f159d3323673af4df12bad1c0a017b2f	fffac66ebd5d4e4f3eec0366db010818	Noisia	Tommy's Theme (Original Mix)	2012-11-08			
ee4334d221c2bd60b9a4360817d6471c	fffac66ebd5d4e4f3eec0366db010818	The Toxic Avenger	ANGST:ONE	2012-11-30			
2eaaef2bacb5b611d4cb70f09bca2dd1	fffac66ebd5d4e4f3eec0366db010818	Tycho	A Walk	2012-11-29			
89ef90ebed1d8f28f204b63fcbe83f72	fffac66ebd5d4e4f3eec0366db010818	Tycho	Adrift	2012-11-13			
bba750d8dfa9fc78b0c0ac692eac85be	fffe463b425de5974b229485af18dde7	Arctic Monkeys	505	2012-04-09			
68201d2dae052e69b368c50dab4dac1b	fffe463b425de5974b229485af18dde7	Childish Gambino	Heartbeat	2012-04-29			
53f6ce1be2fb443f628e1a41fb84c225	fffe463b425de5974b229485af18dde7	Coldplay	Up in Flames	2012-04-22			
cd974a0d31716f74111b96889fce0307	fffe463b425de5974b229485af18dde7	Wallpaper.	FUCKING BEST SONG EVERRR	2012-04-15			
